"state","lga","longitude","latitude","SWL_pc5","SWLpc50","SWLpc95","MTWL_pc5","MTWLpc50","MTWLpc95"
"SA","Grant",140.789474487305,-38.0832366943359,0.969547055687138,1.00733380462108,1.04619351409412,3.06807279864961,3.18581217996431,3.30689478909335
"SA","Grant",140.842102050781,-38.0832366943359,0.971580114365423,1.01001033835467,1.04953179445605,3.0006208768734,3.11563662419056,3.23391826131643
"SA","Grant",140.894729614258,-38.0832366943359,0.973724347441052,1.01283323383768,1.05305262306972,3.00335961292021,3.1183538347004,3.23661333506837
"SA","Grant",140.947372436523,-38.0832366943359,0.975811059147701,1.01558040209938,1.05647900165177,3.00206865809395,3.11986126786278,3.24099861687608
"SA","Grant",140.57893371582,-38.0418090820312,0.965940976635808,1.00258638029437,1.04027233581766,3.0990533080518,3.21567909779714,3.3356164947532
"SA","Grant",140.631576538086,-38.0418090820312,0.968126420528962,1.00546353006156,1.04386083255341,3.10415049357248,3.22142714612904,3.3420338872458
"SA","Grant",140.473678588867,-38.000358581543,0.964898748034019,1.00121428019681,1.03856099747256,3.33648666259443,3.47152604106043,3.61039988341674
"SA","Grant",140.526321411133,-38.000358581543,0.9668853800405,1.00382969294333,1.04182304528478,3.25486664026224,3.38512688556609,3.51908589054018
"SA","Grant",140.421051025391,-37.9588851928711,0.965389879286692,1.00186085738588,1.03936743450924,3.33446605505106,3.46907570156178,3.60750760965795
"SA","Grant",140.368408203125,-37.9173851013184,0.96707403293657,1.004078055593,1.04213281315567,3.31485301775911,3.44908054797186,3.5871194895191
"SA","Grant",140.368408203125,-37.8758659362793,0.969330459580838,1.00704865457043,1.04583786349935,3.31842167757264,3.4530401610241,3.59148115698731
"SA","Grant",140.315780639648,-37.8343200683594,0.970143388920961,1.00811888083842,1.047172692681,3.34227565562763,3.47828172383962,3.61814970524572
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SA","Grant",140.315780639648,-37.7927551269531,0.972715895356393,1.01150560072402,1.05139674573272,3.25603360362165,3.38688137648492,3.52144459195369
"SA","Wattle Range",140.263153076172,-37.751163482666,0.973918617683245,1.01308899175663,1.05337161461746,2.8625200743098,2.97819165588065,3.09714774977455
"SA","Wattle Range",140.263153076172,-37.7095489501953,0.977304259393504,1.01754620902448,1.05893083499541,2.86555458791476,2.9813380323975,3.10040916556786
"SA","Wattle Range",140.210525512695,-37.667911529541,0.979203594472966,1.02004669485201,1.06204954133882,2.93005888437499,3.0435003819595,3.16016306828978
"SA","Wattle Range",140.157897949219,-37.6262474060059,0.982857627675445,1.02485725110136,1.06804946028458,3.09945085823944,3.2243695588253,3.35283534509878
"SA","Wattle Range",140.157897949219,-37.5845642089844,0.988024995564911,1.03166012138632,1.07653427330672,3.06796988697619,3.18881233400362,3.31308612087288
"SA","Wattle Range",140.105255126953,-37.542854309082,0.98839109107089,1.03214208827785,1.07713540176959,3.06504728450364,3.18549529537583,3.30936344601465
"SA","Wattle Range",140.052627563477,-37.5011253356934,0.990126634155144,1.03442694097823,1.07998516181702,3.06338158227827,3.18331212817054,3.30664812033186
"SA","Wattle Range",139.947357177734,-37.4593696594238,0.985656830611097,1.02854241826574,1.07264574876802,3.19073822109852,3.31943315208477,3.45178239540081
"SA","Wattle Range",140,-37.4593696594238,0.990869199667854,1.03540453285269,1.08120445366285,3.33608685286875,3.47217336767617,3.61212407997115
"SA","Wattle Range",140.052627563477,-37.4593696594238,0.997000005719261,1.04347577515671,1.0912712312049,3.34407501921083,3.48141619942547,3.62265720354458
"SA","Wattle Range",139.894729614258,-37.4175910949707,0.990397663206292,1.03478375232162,1.08043019125401,3.19563747113999,3.32607199749879,3.46021023226515
